8_dd6.log:real	2m4.133s
8_dd9.log:real	1m34.014s
8_dda.log:real	1m41.431s
8_ddc.log:real	1m35.107s
8_de3.log:real	1m38.994s
8_de5.log:real	1m35.120s
8_de6.log:real	1m42.164s
8_de9.log:real	1m43.129s
8_dea.log:real	1m41.955s
8_dec.log:real	1m44.575s
8_df1.log:real	1m33.309s
8_df2.log:real	1m38.231s
8_df4.log:real	1m34.574s
8_df8.log:real	1m43.911s
8_e1f.log:real	1m42.483s
8_e2f.log:real	1m41.141s
8_e37.log:real	1m43.799s
8_e3b.log:real	1m40.344s
8_e3d.log:real	1m43.489s
8_e3e.log:real	1m44.563s
8_e4f.log:real	1m43.865s
8_e57.log:real	2m5.723s
8_e5b.log:real	1m41.364s
8_e5d.log:real	1m33.889s
8_e5e.log:real	1m42.213s
8_e67.log:real	1m44.069s
8_e6b.log:real	1m41.221s
8_e6d.log:real	1m45.914s
8_e6e.log:real	1m44.806s
8_e73.log:real	1m40.848s
8_e75.log:real	1m36.084s
8_e76.log:real	1m41.899s
8_e79.log:real	1m43.438s
8_e7a.log:real	1m43.527s
8_e7c.log:real	1m44.686s
8_e8f.log:real	1m41.019s
8_e97.log:real	1m42.547s
8_e9b.log:real	1m42.727s
8_e9d.log:real	1m45.887s
8_e9e.log:real	1m44.433s
8_ea7.log:real	1m42.912s
8_eab.log:real	1m34.711s
8_ead.log:real	1m41.395s
8_eae.log:real	1m33.745s
8_eb3.log:real	1m42.674s
8_eb5.log:real	1m45.751s
8_eb6.log:real	1m40.505s
8_eb9.log:real	1m43.332s
8_eba.log:real	1m35.127s
8_ebc.log:real	1m44.315s
8_ec7.log:real	1m41.560s
8_ecb.log:real	1m44.642s
8_ecd.log:real	1m46.138s
8_ece.log:real	1m40.328s
8_ed3.log:real	1m43.716s
8_ed5.log:real	1m36.294s
8_ed6.log:real	1m43.827s
8_ed9.log:real	1m41.874s
8_eda.log:real	1m39.674s
8_edc.log:real	1m44.017s
8_ee3.log:real	1m42.337s
8_ee5.log:real	1m43.780s
8_ee6.log:real	1m43.331s
8_ee9.log:real	1m41.968s
8_eea.log:real	1m36.075s
8_eec.log:real	1m41.199s
8_ef1.log:real	1m45.368s
8_ef2.log:real	1m42.562s
8_ef4.log:real	1m42.322s
8_ef8.log:real	1m43.410s
8_f0f.log:real	1m45.032s
8_f17.log:real	2m2.452s
8_f1b.log:real	1m43.685s
8_f1d.log:real	1m36.575s
8_f1e.log:real	1m40.642s
8_f27.log:real	1m45.634s
8_f2b.log:real	1m43.804s
8_f2d.log:real	1m40.966s
8_f2e.log:real	1m41.881s
8_f33.log:real	1m41.439s
8_f35.log:real	1m32.948s
8_f36.log:real	1m39.099s
8_f39.log:real	1m43.216s
8_f3a.log:real	1m41.670s
8_f3c.log:real	1m42.836s
8_f47.log:real	2m2.995s
8_f4b.log:real	1m41.155s
8_f4d.log:real	1m35.019s
8_f4e.log:real	1m42.422s
8_f53.log:real	2m5.949s
8_f55.log:real	1m36.134s
8_f56.log:real	2m6.648s
8_f59.log:real	1m33.458s
8_f5a.log:real	1m39.092s
8_f5c.log:real	1m34.181s
8_f63.log:real	1m43.370s
8_f65.log:real	1m35.147s
8_f66.log:real	1m43.082s
8_f69.log:real	1m39.528s
8_f6a.log:real	1m43.597s
8_f6c.log:real	1m45.604s
8_f71.log:real	1m33.807s
8_f72.log:real	1m39.595s
8_f74.log:real	1m37.627s
8_f78.log:real	1m42.342s
8_f87.log:real	1m44.443s
8_f8b.log:real	1m39.724s
8_f8d.log:real	1m44.068s
8_f8e.log:real	1m42.362s
8_f93.log:real	1m42.947s
8_f95.log:real	1m34.132s
8_f96.log:real	1m43.294s
8_f99.log:real	1m42.122s
8_f9a.log:real	1m41.132s
8_f9c.log:real	1m44.277s
8_fa3.log:real	1m40.742s
8_fa5.log:real	1m42.836s
8_fa6.log:real	1m42.558s
8_fa9.log:real	1m40.083s
8_faa.log:real	1m38.522s
8_fac.log:real	1m43.065s
8_fb1.log:real	1m45.835s
8_fb2.log:real	1m43.295s
8_fb4.log:real	1m46.544s
8_fb8.log:real	1m40.274s
8_fc3.log:real	1m43.201s
8_fc5.log:real	1m36.011s
8_fc6.log:real	1m42.986s
8_fc9.log:real	1m42.020s
8_fca.log:real	1m42.535s
8_fcc.log:real	1m45.264s
8_fd1.log:real	1m35.557s
8_fd2.log:real	1m41.394s
8_fd4.log:real	1m33.597s
8_fd8.log:real	1m42.706s
8_fe1.log:real	1m45.295s
8_fe2.log:real	1m43.273s
8_fe4.log:real	1m43.710s
8_fe8.log:real	1m42.558s
8_ff0.log:real	1m45.595s
8_ff.log:real	1m45.805s
