4_90a.log:real	3m8.804s
4_90c.log:real	3m2.602s
4_911.log:real	3m10.474s
4_912.log:real	3m2.376s
4_914.log:real	3m5.156s
4_918.log:real	2m59.417s
4_921.log:real	3m3.827s
4_922.log:real	3m9.107s
4_924.log:real	3m3.866s
4_928.log:real	3m9.275s
4_930.log:real	3m3.234s
4_93.log:real	2m50.266s
4_941.log:real	3m11.800s
4_942.log:real	2m57.471s
4_944.log:real	3m4.815s
4_948.log:real	3m2.966s
4_950.log:real	3m8.726s
4_95.log:real	3m8.421s
4_960.log:real	3m4.880s
4_96.log:real	2m56.509s
4_981.log:real	3m3.682s
4_982.log:real	3m11.012s
4_984.log:real	3m2.744s
4_988.log:real	3m12.371s
4_990.log:real	3m1.615s
4_99.log:real	2m51.181s
4_9a0.log:real	3m11.577s
4_9a.log:real	3m7.561s
4_9c0.log:real	3m2.437s
4_9c.log:real	2m55.755s
4_a03.log:real	3m13.559s
4_a05.log:real	3m0.702s
4_a06.log:real	3m11.146s
4_a09.log:real	3m14.383s
4_a0a.log:real	2m4.361s
4_a0c.log:real	3m7.760s
4_a11.log:real	3m0.564s
4_a12.log:real	3m8.661s
4_a14.log:real	3m1.935s
4_a18.log:real	3m10.894s
4_a21.log:real	3m12.360s
4_a22.log:real	2m3.795s
4_a24.log:real	3m8.564s
4_a28.log:real	2m4.647s
4_a30.log:real	3m9.112s
4_a3.log:real	3m2.343s
4_a41.log:real	2m58.658s
4_a42.log:real	3m8.775s
4_a44.log:real	3m1.217s
4_a48.log:real	3m8.617s
4_a50.log:real	3m1.731s
4_a5.log:real	2m51.840s
4_a60.log:real	3m9.311s
4_a6.log:real	3m4.369s
4_a81.log:real	3m9.611s
4_a82.log:real	2m5.046s
4_a84.log:real	3m9.562s
4_a88.log:real	2m4.815s
4_a90.log:real	3m9.041s
4_a9.log:real	3m11.026s
4_aa0.log:real	2m4.502s
4_aa.log:real	2m0.824s
4_ac0.log:real	3m11.598s
4_ac.log:real	3m4.544s
4_b01.log:real	2m52.896s
4_b02.log:real	3m8.558s
4_b04.log:real	3m1.038s
4_b08.log:real	3m8.591s
4_b10.log:real	2m59.876s
4_b1.log:real	2m54.039s
4_b20.log:real	3m9.947s
4_b2.log:real	3m3.737s
4_b40.log:real	3m1.567s
4_b4.log:real	2m50.887s
4_b80.log:real	3m9.585s
4_b8.log:real	3m8.921s
4_c03.log:real	3m1.508s
4_c05.log:real	3m13.080s
4_c06.log:real	3m0.338s
4_c09.log:real	2m53.367s
4_c0a.log:real	3m9.150s
4_c0c.log:real	3m5.044s
4_c11.log:real	3m5.528s
4_c12.log:real	2m55.936s
4_c14.log:real	3m3.915s
4_c18.log:real	2m57.598s
4_c21.log:real	2m57.720s
4_c22.log:real	3m8.910s
4_c24.log:real	3m4.545s
4_c28.log:real	3m9.124s
4_c30.log:real	3m1.217s
4_c3.log:real	2m49.016s
4_c41.log:real	3m10.863s
4_c42.log:real	3m0.787s
4_c44.log:real	3m11.669s
4_c48.log:real	2m58.403s
4_c50.log:real	3m10.248s
4_c5.log:real	3m10.828s
4_c60.log:real	3m2.179s
4_c6.log:real	2m56.429s
4_c81.log:real	3m3.930s
4_c82.log:real	3m8.452s
4_c84.log:real	3m0.599s
4_c88.log:real	3m10.814s
4_c90.log:real	3m6.844s
4_c9.log:real	2m53.008s
4_ca0.log:real	3m8.272s
4_ca.log:real	3m8.741s
4_cc0.log:real	3m1.154s
4_cc.log:real	2m54.502s
4_d01.log:real	3m12.384s
4_d02.log:real	2m52.294s
4_d04.log:real	3m11.791s
4_d08.log:real	2m59.348s
4_d10.log:real	3m6.425s
4_d1.log:real	3m11.582s
4_d20.log:real	2m59.540s
4_d2.log:real	2m53.945s
4_d40.log:real	3m11.581s
4_d4.log:real	3m12.808s
4_d80.log:real	3m1.907s
4_d8.log:real	2m52.752s
4_e01.log:real	3m6.194s
4_e02.log:real	3m10.185s
4_e04.log:real	2m58.488s
4_e08.log:real	3m9.076s
4_e10.log:real	2m56.386s
4_e1.log:real	2m57.980s
4_e20.log:real	3m10.263s
4_e2.log:real	3m7.224s
4_e40.log:real	2m57.060s
4_e4.log:real	2m49.654s
4_e80.log:real	3m11.931s
4_e8.log:real	3m3.877s
4_f00.log:real	3m1.459s
4_f0.log:real	2m54.292s
4_f.log:real	2m53.707s
